,animal_id,animal_type,outcome_type
0,A684346,Cat,Transfer
1,A666430,Dog,Transfer
2,A675708,Dog,Adoption
3,A680386,Dog,Transfer
4,A683115,Other,Euthanasia
5,A664462,Dog,Transfer
6,A693700,Other,Euthanasia
7,A692618,Dog,Transfer
8,A685067,Cat,Adoption
9,A678580,Cat,Adoption
10,A675405,Cat,Return to Owner
11,A673652,Dog,Transfer
12,A677679,Dog,Adoption
13,A640655,Dog,Return to Owner
14,A690350,Dog,Return to Owner
15,A680396,Dog,Transfer
16,A674298,Dog,Transfer
17,A670420,Cat,Transfer
18,A692378,Dog,Adoption
19,A684460,Cat,Adoption
20,A673952,Cat,Transfer
21,A686497,Cat,Adoption
22,A666660,Dog,Adoption
23,A687965,Cat,Adoption
24,A668547,Cat,Transfer
25,A689952,Dog,Adoption
26,A669621,Dog,Transfer
27,A667311,Dog,Adoption
28,A690699,Dog,Transfer
29,A682393,Cat,Transfer
30,A681039,Cat,Transfer
31,A682532,Cat,Adoption
32,A669918,Dog,Adoption
33,A683779,Cat,Adoption
34,A678098,Dog,Adoption
35,A686829,Cat,Transfer
36,A677038,Dog,Adoption
37,A665344,Dog,Adoption
38,A617061,Cat,Died
39,A675394,Dog,Transfer
40,A683068,Other,Euthanasia
41,A682085,Cat,Adoption
42,A673439,Dog,Adoption
43,A692877,Cat,Transfer
44,A683856,Cat,Adoption
45,A647382,Dog,Adoption
46,A683517,Cat,Transfer
47,A660098,Dog,Transfer
48,A693005,Dog,Return to Owner
49,A688811,Cat,Transfer
50,A680225,Cat,Transfer
51,A662912,Cat,Transfer
52,A688352,Dog,Adoption
53,A545127,Dog,Euthanasia
54,A661023,Dog,Adoption
55,A673648,Dog,Return to Owner
56,A674466,Dog,Transfer
57,A637480,Dog,Return to Owner
58,A677479,Dog,Adoption
59,A664116,Dog,Adoption
60,A677218,Cat,Transfer
61,A691708,Cat,Transfer
62,A688079,Dog,Return to Owner
63,A676606,Dog,Transfer
64,A666831,Dog,Adoption
65,A683939,Dog,Transfer
66,A619328,Dog,Return to Owner
67,A693212,Other,Euthanasia
68,A682652,Dog,Transfer
69,A680208,Other,Euthanasia
70,A670066,Cat,Adoption
71,A667511,Cat,Euthanasia
72,A674267,Dog,Adoption
73,A670730,Dog,Transfer
74,A670656,Cat,Return to Owner
75,A669064,Dog,Adoption
76,A680147,Dog,Transfer
77,A688674,Cat,Transfer
78,A677633,Cat,Euthanasia
79,A667384,Dog,Adoption
80,A688532,Cat,Transfer
81,A687769,Cat,Adoption
82,A676666,Other,Euthanasia
83,A678060,Cat,Adoption
84,A671481,Dog,Adoption
85,A674053,Dog,Adoption
86,A688036,Cat,Transfer
87,A689091,Dog,Adoption
88,A663623,Cat,Adoption
89,A676932,Dog,Transfer
90,A693547,Dog,Adoption
91,A663592,Dog,Adoption
92,A685713,Other,Euthanasia
93,A675014,Other,Euthanasia
94,A624436,Dog,Return to Owner
95,A562649,Dog,Euthanasia
96,A673137,Other,Transfer
97,A688904,Dog,Transfer
98,A686842,Dog,Euthanasia
99,A691706,Cat,Adoption
100,A668644,Dog,Adoption
101,A685249,Dog,Euthanasia
102,A667028,Cat,Adoption
103,A688773,Dog,Return to Owner
104,A675362,Dog,Transfer
105,A672190,Cat,Adoption
106,A687138,Cat,Adoption
107,A662261,Cat,Transfer
108,A670525,Dog,Transfer
109,A646578,Dog,Adoption
110,A665799,Cat,Adoption
111,A673438,Cat,Transfer
112,A669140,Cat,Transfer
113,A552202,Dog,Euthanasia
114,A675373,Dog,Return to Owner
115,A687494,Dog,Return to Owner
116,A669576,Cat,Euthanasia
117,A673284,Other,Transfer
118,A684123,Dog,Adoption
119,A681482,Dog,Transfer
120,A685582,Cat,Transfer
121,A664633,Other,Euthanasia
122,A681449,Dog,Return to Owner
123,A684998,Cat,Adoption
124,A664486,Cat,Transfer
125,A689192,Cat,Euthanasia
126,A693898,Dog,Adoption
127,A665019,Cat,Adoption
128,A684110,Cat,Euthanasia
129,A665719,Dog,Adoption
130,A677014,Cat,Transfer
131,A672839,Dog,Transfer
132,A677959,Cat,Adoption
133,A667121,Dog,Return to Owner
134,A680473,Cat,Adoption
135,A690900,Cat,Adoption
136,A650344,Dog,Adoption
137,A674808,Dog,Return to Owner
138,A675177,Dog,Adoption
139,A664437,Cat,Transfer
140,A580635,Dog,Transfer
141,A683017,Dog,Adoption
142,A691498,Dog,Adoption
143,A688607,Dog,Adoption
144,A665667,Dog,Transfer
145,A678589,Dog,Adoption
146,A690027,Dog,Return to Owner
147,A683956,Cat,Adoption
148,A664490,Dog,Adoption
149,A690029,Cat,Transfer
150,A666941,Dog,Transfer
151,A678260,Cat,Transfer
152,A679240,Dog,Adoption
153,A672918,Cat,Adoption
154,A688771,Other,Euthanasia
155,A681990,Cat,Transfer
156,A683735,Cat,Transfer
157,A515757,Dog,Return to Owner
158,A685607,Cat,Transfer
159,A592428,Dog,Return to Owner
160,A666001,Dog,Adoption
161,A679736,Cat,Transfer
162,A671106,Cat,Transfer
163,A688062,Dog,Adoption
164,A678573,Cat,Adoption
165,A687004,Dog,Adoption
166,A669193,Dog,Return to Owner
167,A661614,Dog,Adoption
168,A668531,Dog,Transfer
169,A684739,Dog,Return to Owner
170,A626164,Cat,Adoption
171,A663020,Dog,Adoption
172,A669753,Cat,Transfer
173,A687770,Cat,Adoption
174,A580685,Dog,Euthanasia
175,A685766,Dog,Return to Owner
176,A666264,Dog,Adoption
177,A683813,Dog,Adoption
178,A688206,Cat,Transfer
179,A667941,Dog,Transfer
180,A667359,Cat,Return to Owner
181,A689369,Dog,Transfer
182,A688884,Dog,Adoption
183,A677215,Dog,Adoption
184,A625324,Dog,Return to Owner
185,A675626,Dog,Transfer
186,A686388,Cat,Adoption
187,A675315,Dog,Adoption
188,A684824,Cat,Transfer
189,A672456,Dog,Transfer
190,A686978,Cat,Transfer
191,A672082,Dog,Return to Owner
192,A680663,Cat,Adoption
193,A677147,Dog,Return to Owner
194,A681042,Cat,Transfer
195,A680414,Cat,Adoption
196,A677404,Dog,Transfer
197,A673022,Other,Euthanasia
198,A683224,Cat,Euthanasia
199,A671082,Dog,Adoption
200,A677631,Cat,Transfer
201,A677077,Cat,Adoption
202,A682239,Cat,Adoption
203,A687677,Dog,Adoption
204,A693905,Cat,Transfer
205,A666882,Dog,Adoption
206,A672684,Dog,Transfer
207,A679110,Dog,Transfer
208,A679444,Other,Euthanasia
209,A686527,Dog,Return to Owner
210,A680819,Cat,Adoption
211,A682822,Dog,Adoption
212,A568980,Dog,Return to Owner
213,A681211,Dog,Transfer
214,A665165,Dog,Adoption
215,A672566,Dog,Return to Owner
216,A663004,Dog,Adoption
