,city,country,id,latitude,longitude,name,state,zip
0,Kittery,US,ME118,43.0899,-70.7415,Kittery Animal Hospital and Creature Comforts LLC,ME,3904
1,Rye,US,NH81,42.9885,-70.8282,Lilac Groves Pampered Pups,NH,3870
2,Rye,US,NH140,42.9885,-70.8282,Northern New England Westie Rescue Inc,NH,3870
3,Stratham,US,NH31,43.0028,-70.9212,NHSPCA,NH,3885
4,York,US,ME158,43.1502,-70.6281,The Grateful Dog Animal Rescue,ME,3909
5,Newfields,US,NH105,43.0377,-70.9861,Cats 1st,NH,3856
6,Dover,US,NH54,43.1921,-70.8801,Cocheco Valley Humane Society,NH,3820
7,Brentwood,US,NH96,42.9783,-70.9666,4 Lil Paws Ferret Shelter,NH,3833
8,Seabrook,US,NH48,42.9002,-70.8839,All Breed Rescue and Adoption Inc.,NH,3874
9,Salisbury,US,MA65,42.8376,-70.8733,Merrimack River Feline Rescue Society,MA,1952
10,North Berwick,US,ME151,43.3043,-70.7353,Emma's Angels Rescue,ME,3906
11,Gonic,US,NH154,43.2759,-70.9891,"FuRRR Feline Rescue, Rehabilitation and Retirement",NH,3839
12,Merrimac,US,MA525,42.8335,-71.005,Safe Tails Animal Rescue,MA,1860
13,Wells,US,ME69,43.31100000000001,-70.5749,Safe Haven Humane Society,ME,4090
14,West Newbury,US,MA465,42.793,-70.9765,New England Equine Rescue North,MA,1985
15,Sandown,US,NH147,42.9389,-71.1662,PRONE - Papillon Rescue of the North East,NH,3873
16,Haverhill,US,MA265,42.7843,-71.0734,"One Tail at a Time Rescue, Inc.",MA,1830
17,Atkinson,US,NH75,42.8429,-71.1634,Cairn Rescue League,NH,3811
18,Lebanon,US,ME97,43.4104,-70.8751,Alpha Dog Rescue,ME,4027
19,Northwood,US,NH138,43.218,-71.2465,Mary's Dogs,NH,3261
20,Kennebunkport,US,ME89,43.3592,-70.4753,Lucky Pup Rescue,ME,4046
21,Ipswich,US,MA135,42.6829,-70.8423,Ipswich Humane Group Inc.,MA,1938
22,Farmington,US,NH112,43.3917,-71.0658,Voice for Animals,NH,3835
23,East Derry,US,NH10,42.8944,-71.2917,Greater Derry Humane Society Inc.,NH,3041
24,Salem,US,NH32,42.7904,-71.2182,Feline Friends,NH,3079
25,Salem,US,NH71,42.7904,-71.2182,Salem Animal Rescue League,NH,3079
26,Methuen,US,MA147,42.7272,-71.1763,MSPCA at Nevins Farm,MA,1844
27,Methuen,US,MA90,42.7272,-71.1763,Odd Dog Rescue,MA,1844
28,Gloucester,US,MA128,42.6258,-70.6665,Cape Ann Animal Aid,MA,1930
29,Milton Mills,US,NH50,43.5014,-70.9638,Greyhound Pets of America - Central NH Chapter,NH,3852
30,Andover,US,MA224,42.6487,-71.1558,Great Dog Rescue New England,MA,1810
31,Chichester,US,NH65,43.257332,-71.40144599999998,Live and Let Live Farm,NH,3258
32,Chichester,US,NH149,43.257332,-71.40144599999998,"Homes for Happy Dogs, Inc.",NH,3258
33,Manchester,US,NH67,42.9956,-71.4553,Animal Allies,NH,3105
34,Hathorne,US,MA477,42.5831,-70.9858,"North East Afghan Hound Rescue, Inc",MA,1937
35,Manchester,US,NH142,42.9667,-71.4502,All Better Pets,NH,3103
36,Manchester,US,NH160,42.9667,-71.4502,Darbster Foundation,NH,3103
37,Beverly,US,MA376,42.5611,-70.877,Friends of Beverly Animals,MA,1915
38,Beverly,US,MA459,42.5611,-70.877,Lucky Mutt Animal Rescue,MA,1915
39,Saco,US,ME136,43.5004,-70.4433,Hope Harbor Animal Society,ME,4072
40,Pelham,US,NH95,42.7365,-71.3243,Animal Rescue Network of New England,NH,3076
41,Manchester,US,NH25,42.9876,-71.4866,Friends of the Manchester Animal Shelter,NH,3102
42,Manchester,US,NH139,42.9876,-71.4866,For Dog's Sake,NH,3102
43,Peabody,US,MA41,42.5322,-70.9633,Animal Umbrella Inc.,MA,1960
44,Salem,US,MA171,42.5172,-70.8999,Northeast Animal Shelter,MA,1970
45,Salem,US,MA199,42.5172,-70.8999,PALS Animal Life Savers,MA,1970
46,Salem,US,MA511,42.5172,-70.8999,The Odd Cat Sanctuary,MA,1970
47,Bedford,US,NH03,42.9401,-71.5235,Animal Rescue League of New Hampshire,NH,3110
48,Tewksbury,US,MA423,42.6003,-71.2205,Blind Dog Rescue Alliance - MA,MA,1876
49,Marblehead,US,MA18,42.49800000000001,-70.8646,Friends of Marblehead's Abandoned Animals,MA,1945
50,Marblehead,US,MA370,42.49800000000001,-70.8646,Big Fluffy Dog Rescue,MA,1945
51,Concord,US,NH09,43.2153,-71.53399999999998,Pope Memorial SPCA of Concord Merrimack County,NH,3301
52,Lowell,US,MA106,42.6485,-71.3347,Lowell Humane Society,MA,1854
53,Franklin,US,MA74,42.4886,-70.964,Second Chance Boxer Rescue Inc.,MA,1904
54,Goffstown,US,NH155,43.0126,-71.5879,Granite State Paw Rescuers,NH,3045
55,Wakefield,US,MA142,42.5005,-71.0713,PAWS,MA,1880
56,Tyngsboro,US,MA33,42.6711,-71.415,Kitty Angels,MA,1879
57,Nashua,US,NH89,42.7689,-71.5135,Peis and Strays,NH,3063
58,North Billerica,US,MA284,42.5744,-71.289,Billerica Cat Care Coalition,MA,1862
59,Buxton,US,ME54,43.6643,-70.6035,Ferret Rescue of Maine,ME,4093
60,Limerick,US,ME125,43.6875,-70.7946,"New England Lab Rescue, Inc.",ME,4048
61,Scarborough,US,ME106,43.6066,-70.3491,Tender Touch Rescue,ME,4074
62,Melrose,US,MA393,42.4567,-71.0629,Melrose Humane Society,MA,2176
63,Woburn,US,MA343,42.4804,-71.1514,Woburn Feral Cat Coalition,MA,1888
64,Woburn,US,MA40,42.4804,-71.1514,House Rabbit Network,MA,1888
65,Nahant,US,MA447,42.4262,-70.9264,"German Shepherd Resource and Rescue Center, Inc.",MA,1908
66,Canterbury,US,NH33,43.3421,-71.5815,Libby's Haven for Senior Canines,NH,3224
67,Gilford,US,NH111,43.5475,-71.4072,Bare Paws Rescue,NH,3247
68,Ossipee,US,NH14,43.68600000000001,-71.1169,Lakes Region Humane Society,NH,3864
69,Westford,US,MA01,42.5831,-71.4399,North East Rottweiler Rescue,MA,1886
70,Westford,US,MA320,42.5831,-71.4399,"Forgotten Angels Shelter, Inc.",MA,1886
71,Westford,US,MA377,42.5831,-71.4399,Furry Tails Cat Shelter,MA,1886
72,Concord,US,NH39,42.8312,-71.6561,Siamese Cat Rescue Center,NH,3055
73,Milford,US,NH99,42.8312,-71.6561,"Sato Heart Rescue, Wilton,NH",NH,3055
74,Gorham,US,ME127,43.6918,-70.4442,The Pixel Fund,ME,4038
75,Medford,US,MA373,42.4189,-71.1096,Kitty Connection Inc,MA,2155
76,New Boston,US,NH119,42.9771,-71.7097,Canine Commitment NH,NH,3070
77,South Portland,US,ME137,43.6326,-70.2713,Helping Paws,ME,4106
78,South Portland,US,ME159,43.6326,-70.2713,Pittie Posse Rescue and Sanctuary,ME,4106
79,Westbrook,US,ME130,43.6769,-70.3717,Fetching Hope Rescue,ME,4098
80,Lexington,US,MA424,42.4457,-71.2314,Northeast Coonhound Rescue,MA,2420
81,Westbrook,US,ME107,43.6819,-70.3574,Yankee Chihuahua Rescue and Adopt,ME,4092
82,Westbrook,US,ME19,43.6819,-70.3574,"IMPS - Internet Miniature Pinscher Service, Inc.",ME,4092
83,Arlington,US,MA293,42.4186,-71.1643,"Whiskers of Hope, Inc.",MA,2474
84,Winthrop,US,MA292,42.3746,-70.9825,MassPAWS,MA,2152
