,Animal ID,Type,Outcome Type
0,A395686,Dog,Return To Owner
1,A379968,Dog,Transfer
2,A374010,Cat,Adoption
3,A315553,Dog,Adoption
4,A368064,Dog,Adoption
5,A398868,Dog,Return To Owner
6,A392287,Other,Transfer
7,A398093,Cat,Adoption
8,A395721,Dog,Return To Owner
9,A394214,Dog,Transfer
10,A394347,Other,Adoption
11,A312984,Dog,Transfer
12,A395624,Cat,Return To Owner
13,A394346,Other,Adoption
14,A396582,Dog,Transfer
15,A395566,Cat,Adoption
16,A396583,Dog,Adoption
17,A400337,Cat,Transfer
18,A400094,Dog,Transfer
19,A394359,Cat,Euthanize
20,A396829,Other,Euthanize
21,A375098,Cat,Adoption
22,A399287,Cat,Transfer
23,A394231,Dog,Transfer
24,A392034,Other,Transfer
25,A396584,Dog,Adoption
26,A393671,Other,Adoption
27,A398094,Cat,Adoption
28,A398095,Cat,Adoption
29,A395759,Cat,Return To Owner
30,A397926,Other,Return To Owner
31,A393404,Dog,Return To Owner
32,A397866,Other,Return To Owner
33,A266529,Dog,Return To Owner
34,A397932,Other,Return To Owner
35,A395473,Other,Transfer
36,A395184,Dog,Adoption
37,A383072,Dog,Return To Owner
38,A302576,Dog,Return To Owner
39,A397933,Other,Return To Owner
40,A397927,Other,Return To Owner
41,A400270,Cat,Adoption
42,A395184,Dog,Return To Owner
43,A398410,Dog,Return To Owner
44,A395184,Dog,Return To Owner
45,A395763,Dog,Return To Owner
46,A393448,Dog,Transfer
47,A379273,Dog,Adoption
48,A396164,Dog,Return To Owner
49,A397929,Other,Return To Owner
50,A396485,Dog,Adoption
51,A396231,Dog,Adoption
52,A399521,Dog,Transfer
53,A337577,Dog,Return To Owner
54,A397925,Other,Return To Owner
55,A397930,Other,Return To Owner
56,A397974,Dog,Return To Owner
57,A397924,Other,Return To Owner
58,A395074,Cat,Return To Owner
59,A396275,Dog,Adoption
60,A399376,Dog,Transfer
61,A304883,Dog,Return To Owner
62,A393928,Dog,Euthanize
63,A337813,Dog,Adoption
64,A309336,Cat,Transfer
65,A398413,Cat,Euthanize
66,A397931,Other,Return To Owner
67,A398409,Dog,Return To Owner
68,A374639,Cat,Adoption
69,A220752,Dog,Return To Owner
70,A393278,Cat,Euthanize
71,A398870,Dog,Return To Owner
72,A374450,Cat,Adoption
73,A393291,Other,Return To Owner
74,A393428,Cat,Euthanize
75,A392270,Cat,Euthanize
76,A367717,Dog,Return To Owner
77,A393417,Dog,Return To Owner
78,A398871,Dog,Return To Owner
79,A263005,Dog,Return To Owner
80,A312718,Cat,Adoption
81,A399510,Dog,Transfer
82,A400271,Cat,Adoption
83,A354761,Dog,Rtos
84,A389164,Dog,Adoption
85,A328035,Dog,Return To Owner
86,A395510,Dog,Adoption
87,A328035,Dog,Return To Owner
88,A393473,Dog,Return To Owner
89,A393473,Dog,Return To Owner
90,A396870,Dog,Return To Owner
91,A335926,Dog,Adoption
92,A330648,Dog,Adoption
93,A329869,Dog,Adoption
94,A395796,Dog,Return To Owner
95,A391988,Cat,Adoption
96,A390325,Dog,Return To Owner
97,A395762,Dog,Return To Owner
98,A395440,Dog,Adoption
99,A336587,Dog,Return To Owner
100,A398266,Dog,Return To Owner
101,A398064,Dog,Euthanize
102,A385080,Dog,Return To Owner
103,A395105,Dog,Return To Owner
104,A394351,Cat,Adoption
105,A394369,Dog,Adoption
106,A390346,Dog,Adoption
107,A310156,Other,Adoption
108,A342086,Dog,Transfer
109,A026974,Dog,Return To Owner
110,A393932,Dog,Adoption
111,A395581,Dog,Adoption
112,A368184,Dog,Return To Owner
113,A372431,Dog,Return To Owner
114,A393378,Cat,Return To Owner
115,A393398,Dog,Return To Owner
116,A242054,Dog,Return To Owner
117,A393457,Dog,Return To Owner
118,A391125,Dog,Euthanize
119,A395616,Dog,Adoption
120,A295565,Dog,Return To Owner
121,A392250,Dog,Euthanize
122,A397635,Dog,Return To Owner
123,A328035,Dog,Return To Owner
124,A394370,Dog,Adoption
126,A397634,Dog,Return To Owner
127,A393386,Dog,Transfer
128,A393739,Cat,Adoption
129,A394194,Cat,Adoption
130,A394402,Dog,Transfer
131,A397776,Cat,Adoption
132,A394368,Dog,Adoption
133,A308517,Dog,Return To Owner
134,A394401,Dog,Transfer
135,A400481,Cat,Euthanize
136,A394232,Dog,Transfer
137,A397695,Cat,Adoption
138,A395094,Dog,Rtos
139,A394300,Dog,Transfer
140,A285149,Dog,Euthanize
141,A308888,Cat,Adoption
142,A398852,Dog,Return To Owner
143,A398937,Cat,Euthanize
144,A396103,Dog,Return To Owner
145,A329704,Dog,Return To Owner
146,A398853,Dog,Return To Owner
147,A393472,Dog,Return To Owner
148,A400455,Other,Transfer
149,A393392,Dog,Return To Owner
150,A393395,Other,Disposal
151,A339547,Cat,Adoption
152,A339512,Cat,Adoption
153,A392047,Dog,Transfer
154,A393447,Cat,Euthanize
155,A304582,Other,Adoption
156,A393472,Dog,Return To Owner
157,A400351,Other,Transfer
158,A311623,Other,Adoption
159,A361461,Dog,Return To Owner
160,A395179,Dog,Return To Owner
161,A360756,Dog,Return To Owner
162,A391854,Dog,Adoption
163,A342432,Dog,Return To Owner
164,A395166,Dog,Transfer
165,A400570,Cat,Appt
166,A395817,Cat,Euthanize
167,A314834,Dog,Return To Owner
168,A316338,Dog,Return To Owner
169,A396212,Dog,Transfer
170,A400352,Other,Transfer
171,A329705,Dog,Return To Owner
172,A393450,Dog,Return To Owner
173,A277759,Dog,Return To Owner
174,A393493,Dog,Return To Owner
175,A367802,Dog,Return To Owner
176,A326450,Dog,Return To Owner
177,A326433,Dog,Return To Owner
178,A326444,Cat,Return To Owner
179,A038792,Dog,Return To Owner
180,A356405,Dog,Return To Owner
181,A393445,Cat,Return To Owner
182,A329702,Dog,Return To Owner
183,A393434,Dog,Return To Owner
184,A398061,Cat,Euthanize
185,A393475,Dog,Return To Owner
186,A368066,Dog,Adoption
187,A398767,Dog,Return To Owner
188,A391660,Dog,Euthanize
189,A393494,Other,Euthanize
190,A396652,Dog,Return To Owner
191,A398677,Cat,Euthanize
192,A396860,Dog,Return To Owner
193,A396404,Dog,Euthanize
194,A400565,Other,Disposal
195,A381107,Dog,Adoption
196,A397633,Dog,Transfer
197,A326432,Dog,Return To Owner
198,A326446,Cat,Return To Owner
199,A389406,Dog,Transfer
200,A326440,Dog,Return To Owner
201,A326449,Cat,Return To Owner
202,A326443,Cat,Return To Owner
203,A311105,Dog,Adoption
204,A395190,Dog,Return To Owner
205,A398923,Dog,Return To Owner
206,A326447,Cat,Return To Owner
207,A326442,Cat,Return To Owner
208,A339164,Dog,Adoption
209,A372803,Dog,Return To Owner
210,A391869,Dog,Transfer
211,A393405,Dog,Return To Owner
212,A326436,Dog,Return To Owner
213,A393406,Dog,Return To Owner
214,A395202,Cat,Euthanize
215,A391899,Dog,Transfer
216,A393527,Dog,Return To Owner
217,A326435,Dog,Return To Owner
218,A326441,Dog,Return To Owner
219,A393495,Dog,Euthanize
220,A326448,Cat,Return To Owner
221,A333197,Dog,Return To Owner
222,A326431,Dog,Return To Owner
223,A395094,Dog,Transfer
224,A336507,Dog,Transfer
225,A326438,Dog,Return To Owner
226,A396902,Dog,Return To Owner
227,A393477,Dog,Return To Owner
228,A336507,Dog,Return To Owner
229,A395183,Dog,Return To Owner
230,A396901,Dog,Return To Owner
231,A326445,Cat,Return To Owner
232,A326437,Dog,Return To Owner
233,A326439,Dog,Return To Owner
234,A397443,Dog,Transfer
235,A395828,Dog,Return To Owner
236,A372803,Dog,Return To Owner
237,A362519,Dog,Transfer
238,A395810,Dog,Return To Owner
239,A395563,Dog,Return To Owner
240,A398918,Other,Transfer
241,A318118,Dog,Return To Owner
242,A362519,Dog,Return To Owner
243,A398423,Dog,Adoption
244,A336507,Dog,Return To Owner
245,A389058,Dog,Adoption
246,A334632,Dog,Return To Owner
247,A398422,Dog,Return To Owner
248,A347929,Dog,Return To Owner
249,A400531,Dog,Return To Owner
250,A398849,Cat,Adoption
251,A033894,Dog,Adoption
252,A395196,Dog,Return To Owner
253,A398323,Dog,Return To Owner
254,A395197,Dog,Return To Owner
255,A394192,Cat,Adoption
256,A395198,Dog,Return To Owner
257,A392230,Dog,Return To Owner
258,A348160,Dog,Return To Owner
259,A398819,Dog,Return To Owner
260,A395208,Dog,Return To Owner
261,A329379,Cat,Adoption
262,A400601,Dog,Return To Owner
263,A300715,Dog,Return To Owner
264,A395220,Dog,Return To Owner
265,A328591,Dog,Return To Owner
266,A363668,Dog,Return To Owner
267,A391324,Cat,Adoption
268,A329641,Dog,Adoption
269,A278854,Dog,Return To Owner
270,A342412,Dog,Adoption
271,A395205,Dog,Return To Owner
272,A396274,Dog,Adoption
273,A397748,Dog,Transfer
274,A398422,Dog,Return To Owner
275,A363667,Dog,Return To Owner
276,A393521,Dog,Return To Owner
277,A391181,Dog,Return To Owner
278,A393503,Cat,Return To Owner
279,A348159,Dog,Return To Owner
280,A398766,Dog,Return To Owner
281,A249947,Dog,Return To Owner
282,A372683,Dog,Return To Owner
283,A398756,Dog,Return To Owner
284,A398755,Dog,Return To Owner
285,A374423,Dog,Return To Owner
286,A374424,Dog,Return To Owner
287,A397747,Dog,Transfer
288,A400278,Dog,Return To Owner
289,A377429,Dog,Return To Owner
290,A354188,Dog,Adoption
291,A372683,Dog,Return To Owner
292,A262039,Dog,Return To Owner
293,A395879,Dog,Transfer
294,A318914,Dog,Adoption
295,A395586,Other,Transfer
296,A395847,Dog,Return To Owner
297,A393951,Dog,Adoption
298,A394290,Cat,Adoption
299,A395851,Other,Transfer
300,A394406,Cat,Adoption
301,A395587,Other,Transfer
302,A394301,Dog,Return To Owner
303,A394405,Cat,Adoption
304,A395218,Dog,Return To Owner
305,A384218,Dog,Return To Owner
306,A395234,Cat,Euthanize
307,A395183,Dog,Return To Owner
308,A394391,Dog,Adoption
309,A382425,Dog,Return To Owner
310,A346168,Dog,Return To Owner
311,A400159,Dog,Transfer
312,A400471,Dog,Transfer
313,A395685,Dog,Return To Owner
314,A398954,Cat,Transfer
315,A398955,Dog,Return To Owner
316,A395544,Other,Transfer
317,A362328,Dog,Transfer
318,A393565,Other,Euthanize
319,A387350,Cat,Adoption
320,A398955,Dog,Return To Owner
321,A329246,Dog,Adoption
322,A395055,Dog,Adoption
323,A400639,Dog,Return To Owner
324,A309708,Dog,Return To Owner
325,A316335,Dog,Adoption
326,A394301,Dog,Return To Owner
327,A395079,Dog,Return To Owner
328,A396579,Other,Euthanize
329,A312393,Cat,Adoption
330,A386757,Dog,Return To Owner
331,A313903,Dog,Adoption
332,A393498,Cat,Adoption
333,A393597,Cat,Return To Owner
334,A395236,Dog,Return To Owner
335,A296961,Dog,Adoption
336,A363772,Dog,Return To Owner
337,A393561,Cat,Return To Owner
338,A351259,Dog,Adoption
339,A392230,Dog,Adoption
340,A348522,Cat,Adoption
341,A366374,Dog,Return To Owner
342,A393412,Cat,Euthanize
343,A396566,Other,Euthanize
344,A398997,Cat,Transfer
345,A337522,Dog,Adoption
346,A391958,Dog,Return To Owner
347,A391363,Cat,Adoption
348,A393416,Dog,Return To Owner
349,A387350,Cat,Adoption
350,A393513,Cat,Adoption
351,A374683,Cat,Adoption
352,A393508,Cat,Adoption
353,A393509,Cat,Adoption
354,A393515,Cat,Adoption
355,A360042,Cat,Euthanize
356,A396937,Cat,Euthanize
357,A394390,Cat,Adoption
358,A391838,Dog,Transfer
359,A391364,Cat,Adoption
360,A393598,Dog,Return To Owner
361,A398928,Cat,Return To Owner
362,A394367,Dog,Transfer
363,A347717,Dog,Return To Owner
364,A395857,Other,Return To Owner
365,A398927,Cat,Return To Owner
366,A307572,Dog,Transfer
367,A398946,Dog,Return To Owner
368,A398929,Cat,Return To Owner
369,A395491,Dog,Euthanize
370,A395829,Dog,Return To Owner
371,A398996,Cat,Transfer
372,A326739,Dog,Return To Owner
373,A398861,Dog,Return To Owner
374,A395888,Dog,Return To Owner
375,A340215,Cat,Adoption
376,A299196,Dog,Return To Owner
377,A395429,Dog,Transfer
378,A400477,Cat,Transfer
379,A382158,Dog,Adoption
380,A400528,Cat,Transfer
381,A400463,Dog,Transfer
382,A399011,Dog,Return To Owner
383,A395244,Dog,Return To Owner
384,A399012,Dog,Return To Owner
385,A331444,Dog,Adoption
386,A394215,Cat,Adoption
387,A400536,Cat,Transfer
388,A400478,Cat,Transfer
389,A400454,Dog,Transfer
390,A400431,Dog,Transfer
391,A400459,Dog,Transfer
392,A400392,Cat,Transfer
393,A398940,Dog,Return To Owner
394,A399069,Other,Transfer
395,A399072,Other,Transfer
396,A399073,Other,Transfer
397,A398100,Cat,Adoption
398,A326114,Dog,Return To Owner
399,A393674,Dog,Return To Owner
400,A400458,Cat,Transfer
401,A400475,Cat,Transfer
402,A400268,Dog,Transfer
403,A393630,Dog,Return To Owner
404,A393511,Cat,Adoption
405,A393601,Cat,Transfer
406,A393627,Dog,Return To Owner
407,A369288,Dog,Adoption
408,A383329,Dog,Return To Owner
409,A378300,Dog,Adoption
410,A400476,Cat,Transfer
411,A391368,Cat,Adoption
412,A341335,Dog,Adoption
413,A400073,Dog,Transfer
414,A400109,Dog,Transfer
